Rank,State,Initials,Index,Grocery,Housing,Utilities,Transportation,Health,Misc.
1,Mississippi,MS,85.0,92.4,67.4,89.0,91.9,97.7,91.6
2,Oklahoma,OK,85.8,93.7,70.2,95.1,90.9,91.2,90.4
3,Kansas,KS,87.5,93.7,71.1,98.0,95.6,100.4,91.6
4,Alabama,AL,88.1,97.6,69.6,100.7,89.9,89.6,95.0
5,Georgia,GA,88.6,94.6,75.6,90.3,89.8,94.6,95.1
6,Missouri,MO,89.1,95.4,79.9,94.8,91.8,92.3,91.3
7,Iowa,IA,89.2,99.5,71.5,93.7,95.8,100.0,94.8
8,Indiana,IN,89.9,93.7,77.4,104.0,94.0,95.5,92.9
9,West Virginia,WV,90.0,98.7,68.8,94.4,111.2,101.8,95.3
10,Tennessee,TN,90.2,94.4,81.7,93.8,90.5,89.9,94.2
11,Arkansas,AR,90.6,92.7,77.9,97.5,91.9,82.0,99.3
12,Ohio,OH,91.9,99.0,75.3,94.3,96.5,97.6,99.9
13,Nebraska,NE,91.9,97.4,83.0,87.1,98.9,103.4,94.8
14,Michigan,MI,92.2,91.6,81.1,98.9,98.7,97.5,97.5
15,Texas,TX,92.5,90.3,84.7,102.7,92.4,94.8,96.9
16,Wyoming,WY,92.5,103.2,82.4,82.5,97.8,96.0,96.9
17,Illinois,IL,92.6,98.5,82.0,92.7,105.8,98.4,94.5
18,Louisiana,LA,93.6,97.4,86.7,87.3,96.6,100.7,97.5
19,New Mexico,NM,94.0,98.6,88.4,89.6,98.6,100.9,95.6
20,South Carolina,SC,94.3,100.3,81.6,110.6,90.9,95.8,98.2
21,South Dakota,SD,94.5,104.3,92.9,89.8,92.3,94.6,92.9
22,Kentucky,KY,94.9,93.5,77.3,106.1,105.3,79.0,106.7
23,Wisconsin,WI,95.5,97.5,85.3,103.4,95.2,116.8,97.9
24,North Carolina,NC,95.7,97.7,90.0,95.3,91.0,109.1,99.0
25,North Dakota,ND,97.1,102.4,90.7,98.7,99.0,113.8,96.8
26,Minnesota,MN,97.5,100.7,84.7,97.3,99.4,112.3,104.0
27,Pennsylvania,PA,98.2,104.6,88.1,108.9,104.7,96.4,99.4
28,Idaho,ID,99.6,96.3,104.8,80.6,112.6,93.1,99.4
29,Puerto Rico,PR,100.0,119.0,79.5,158.6,88.8,69.9,99.5
30,Utah,UT,102.8,100.2,107.9,92.3,108.0,91.9,102.9
31,Virginia,VA,102.8,96.1,110.2,99.5,95.9,103.9,102.3
32,Florida,FL,102.8,105.4,108.5,101.3,98.7,97.3,99.2
33,Nevada,NV,103.2,104.2,115.5,94.6,115.2,96.4,92.7
34,Colorado,CO,104.6,95.3,119.8,91.1,101.7,96.0,101.9
35,Montana,MT,104.8,100.9,117.6,84.3,106.8,97.1,102.1
36,Delaware,DE,105.6,105.3,105.3,94.3,114.6,105.0,106.9
37,Arizona,AZ,105.8,101.5,120.6,100.4,101.3,95.2,99.6
38,New Jersey,NJ,112.4,106.2,131.8,108.1,106.6,95.1,104.3
39,Rhode Island,RI,112.9,98.4,117.9,124.7,109.4,103.4,114.7
40,Washington,WA,114.2,108.5,126.0,88.4,114.1,120.6,113.1
41,Maine,ME,115.3,103.4,125.0,105.0,118.1,100.6,116.9
42,Vermont,VT,115.9,106.2,132.3,122.3,118.3,110.1,105.3
43,New Hampshire,NH,116.1,105.3,109.7,114.4,106.9,130.6,127.0
44,New York,NY,116.4,114.4,149.0,104.8,115.7,99.3,105.9
45,Oregon,OR,116.7,111.8,126.9,97.3,106.7,113.8,123.8
46,Hawaii,HI,118.5,165.8,197.1,168.8,108.5,117.4,128.3
47,California,CA,119.2,121.4,149.9,111.4,116.2,107.4,117.4
48,Alaska,AK,127.0,134.0,134.7,143.4,119.2,128.5,123.7
49,Connecticut,CT,127.4,108.2,150.4,129.4,124.0,117.3,121.4
50,Massachusetts,MA,131.9,113.9,162.6,131.9,131.9,111.3,124.5
51,Maryland,MD,131.9,113.5,128.4,110.0,128.4,128.4,133.2
